12.9.1986  Big Country; Jäähalli, Helsinki [C]
16.9.2015  Jonna Tervomaa (SähköDuo); Semifinal [C]
18.9.2015  Maija Vilkkumaa; Ääniwalli [C]
18.9.2015  Irina (akustinen); Old Story [C]
19.9.2015  Jenni Vartiainen; Circus [C]
23.9.2015  Irina (akustinen); Sellosali [C]
3.10.2015  Maija Vilkkumaa; Tavastia [C]
8.10.2015  Vera Fey; Semifinal [C]
14.10.2015 Espionnage, Oka; Semifinal [C]
15.10.2015 Alasti-klubi: Maija Vilkkumaa (duo); Virgin Oil Co. [C]
16.10.2015 Haloo Helsinki!; Hartwall Areena [C]
17.10.2015 Haloo Helsinki!; Hartwall Areena [C]
21.10.2015 Sallan ja Miron matka maailman ympäri; Bar Loose [C]
23.10.2015 Scandinavian Music Group; Tavastia [C]
24.10.2015 Ellinoora (akustinen); Bar Loose [C]
24.10.2015 Apulanta; Tavastia [C]
6.11.2015  Scandinavian Music Group (akustinen); Pyhän Laurin kirkko, Vantaa [C]
7.11.2015  Sallan ja Miron matka maailman ympäri; Hometown, Salo [C]
9.11.2015  Maija Vilkkumaa; Grand Casino [C]
12.11.2015 Sallan ja Miron matka maailman ympäri; Suistoklubi, Hämeenlinna [C]
13.11.2015 Nightwish; Metro Areena [C]
14.11.2015 Anna Puu; Blackpool, Järvenpää [C]
19.11.2015 Anssi Kela; Circus [C]
21.11.2015 Alasti-klubi: Irina (akustinen); Virgin Oil Co. [C]
24.11.2015 Scandinavian Music Group (akustinen), Tuomo & Markus; Musiikkiteatteri Kapsäkki [C]
3.12.2015  Jonna Tervomaa (SähköDuo), Ufo Mustonen (akustinen); Sir Eino [C]
4.12.2015  Maija Vilkkumaa, Ellinoora; Kulttuuritalo [C]
15.12.2015 Vesterinen yhtyeineen; Tavastia [C]
17.12.2015 Sallan ja Miron matka maailman ympäri; Kuudes linja [C]
18.12.2015 Chisu; Tavastia [C]
19.12.2015 Anna Puu; Korjaamo [C]
28.1.2016  The Corrs, The Shires; 3Arena, Dublin, Ireland [C]
3.2.2016   Emppu (akustinen); Le Bonk [C]
6.2.2016   Scandinavian Music Group; Virgin Oil Co. [C]
12.2.2016  Sanni; Tavastia [C]
17.2.2016  Elviira & Rake; Le Bonk [C]
19.2.2016  Maija Vilkkumaa; Aleksanterinteatteri [C]
21.2.2016  Maija Vilkkumaa; Pääsali, Sibeliustalo, Lahti [C]
25.2.2016  Anna Puu (akustinen); Vuotalo [C]
4.3.2016   Chisu; Circus [C]
5.3.2016   Maija Vilkkumaa; Tapiolasali, Espoon kulttuurikeskus [C]
18.3.2016  Michael Winslow; Kulttuuritalo
19.3.2016  Anna Puu; Tavastia [C]
24.3.2016  Scandinavian Music Group; Sellosali [C]
30.4.2016  Anna Puu; Savoy-teatteri [C]
4.4.2016   Jonna Tervomaa (SähköDuo); Helkan baari [C]
6.4.2016   Alavala; Le Bonk [C]
7.4.2016   Alasti-klubi: Sanni (akustinen); Virgin Oil Co. [C]
17.4.2016  The Posies; Tavastia [C]
21.4.2016  Anssi Kela; Savoy-teatteri [C]
22.4.2016  Elias Kaskinen & Päivän Sankarit; Tavastia [C]
22.4.2016  Iiris; Bar Loose [C]
28.4.2016  Alasti-klubi: Chisu (akustinen); Virgin Oil Co. [C]
29.4.2016  Eva & Manu; Korjaamo [C]
30.4.2016  Sanni; Kulttuuritalo [C]
4.5.2016   Luca Gargano (akustinen), Nelli Milan, May (akustinen), Julia Adal (akustinen); On The Rocks [MC]
6.5.2016   Hanna-Maaria Tuomela; Villi Wäinö [C]
6.5.2016   Petra; On The Rocks [C]
13.5.2016  Anneke van Giersbergen (acoustic); Semifinal [C]
14.5.2016  Scandinavian Music Group; Tavastia [C]
20.5.2016  Maija Vilkkumaa; Tavastia [C]
21.5.2016  Elviira & Rake; Grand, Porvoo [C]
21.5.2016  Ellinoora; Pressa [C]
23.5.2016  Oopperan kummitus; Suomen Kansallisooppera
28.5.2016  Amusia, Miro Palokallio; Semifinal [C]
3.6.2016   Queen + Adam Lambert; Kaisaniemi [C]
10.6.2016  Vilma Alina; Kannunkulma [C]
7.7.2016   Maija Vilkkumaa; Hernesaaren Ranta [C]
20.7.2016  Another Castle; Esplanadin lava [C]
29.7.2016  Ropecon 2016; Messukeskus (3 days)
4.8.2016   Vilma Alina, Evelina; Hernesaaren Ranta [C]
5.8.2016   Maija Vilkkumaa; Tulisuudelma [C]
11.8.2016  Erin; Iso Omena [C]
13.8.2016  Jukka Takalo; On The Rocks [C]
19.8.2016  Maija Vilkkumaa; Virgin Oil Co. [C]
20.8.2016  Maija Vilkkumaa; Viking Grace [C]
24.8.2016  Blue Foundation; Nosturi [C]
25.8.2016  Valitsen sinut! Pokémon-musikaali; Kanneltalo
2.9.2016   Alavala; Mascot [C]
3.9.2016   Vesala; Tavastia [C]
9.9.2016   Barbe-Q-Barbies; On The Rocks [C]
14.9.2016  Jere Ijäs, Jaakko Pesola Band; On The Rocks [C]
16.9.2016  Ellinoora (akustinen); Levykauppa Äx [MC]
16.9.2016  Miro Palokallio; Bar Loose [C]
22.9.2016  Alasti-klubi: Vesala (akustinen); Virgin Oil Co. [C]
28.9.2016  Olohuone-klubi: Anna Puu (akustinen), Jonna Tervomaa (SähköDuo), Ellinoora (akustinen), Olavi Uusivirta (akustinen), Pimeys (akustinen); Gloria [C]
29.9.2016  Luis and the Bots; On The Rocks [C]
1.10.2016  Scandinavian Music Group; Korjaamo [C]
7.10.2016  The Cure, Twilight Sad; Hartwall Areena [C]
8.10.2016  Irina; Sellosali [C]
13.10.2016 Mafia Honey, Katri Onnela (akustinen); Semifinal [C]
14.10.2016 Ellinoora; Tavastia [C]
15.10.2016 Mira Luoti; Tavastia [C]
15.10.2016 Irina, Himanen; Virgin Oil Co. [C]
21.10.2016 Younghearted (akustinen); Roots Helsinki [C]
24.10.2016 Save Syria: Maija Vilkkumaa, Erin, Tuure Kilpeläinen, Vuokko Hovatta; Circus [MC]
25.10.2016 Younghearted; On The Rocks [C]
26.10.2016 Tuomo & Markus (feat. Jonna Tervomaa & Verneri Pohjola); Tavastia [C]
29.10.2016 Anna Puu; Korjaamo [C]
31.10.2016 Jean-Michel Jarre; Jäähalli [C]
4.11.2016  Chisu; Tavastia [C]
9.11.2016  Miro Palokallio (akustinen); O'Malleys [C]
19.11.2016 Erin; Tavastia [C]
25.11.2016 Elviira & Rake, Oliver; Semifinal [C]
26.11.2016 Anna Puu; Tavastia [C]
1.12.2016  Ellinoora; Sellosali [C]
2.12.2016  Suomen Pelimuseon VIP-tilaisuus tukijoille; Vapriikki, Tampere
2.12.2016  Kebu; Klubi, Tampere [C]
5.12.2016  Saara Aalto; Senaatintori [MC]
9.12.2016  Anna Puu; Sellosali [C]
14.12.2016 Eva & Manu (joulukonsertti); Sellosali [C]
16.12.2016 Vampyyrimusikaali Onyx; Teatteri Toivo
21.12.2016 Eva & Manu (joulukonsertti); Savoy-teatteri [C]
22.12.2016 Jonna Tervomaa (SähköDuo); Manala [C]
29.12.2016 Younghearted; On The Rocks [C]
10.2.2017  Scandinavian Music Group (akustinen); G.Livelab [C]
11.2.2017  Sanni; Tavastia [C]
14.2.2017  Younghearted, Mariska; Tavastia [C]
17.2.2017  Ken Stringfellow (feat. Jonna Tervomaa); Vihreä Talo, Riihimäki [C]
18.2.2017  Netta Skog (feat. Alexi Laiho); On The Rocks [C]
23.2.2017  Miro Palokallio; On The Rocks [C]
28.2.2017  Epica; Tavastia [C]
3.3.2017   Casino Murder Mystery (Irina); Grand Casino
9.3.2017   Miro Palokallio; Semifinal [C]
16.3.2017  Anna Puu; Tapionaukio [C]
18.3.2017  Ellinoora, Kauriinmetsästäjät; Circus [C]
23.3.2017  Takida; Nosturi [C]
24.3.2017  Vahtera; E28 [MC]
24.3.2017  The Wrecking Queens; Korjaamo [C]
25.3.2017  Anna Puu; Finlandia-klubi, Sibeliustalo, Lahti [C]
29.3.2017  Mira Luoti; Semifinal [C]
30.3.2017  Fork; Aleksanterinteatteri [C]
1.4.2017   Annis (akustinen); Brygga, Lahti [C]
12.4.2017  Miro Palokallio; Bar Loose [C]
15.4.2017  Saara Aalto; Hartwall Areena [C]
22.4.2017  Petra; Iso Omena [C]
29.4.2017  Jenni Vartiainen; Tavastia [C]
5.5.2017   Ellinoora; Tulisuudelma [C]
13.5.2017  Petra; Virgin Oil Co. [C]
24.5.2017  Rinneradio; Gloria [C]
26.5.2017  Ellinoora; Pressa [C]
1.6.2017   Ellinoora; Hernesaaren Ranta [C]
14.6.2017  Emily Frost; On The Rocks [C]
15.6.2017  Mafia Honey; Semifinal [C]
21.6.2017  Younghearted; G.Livelab [C]
22.6.2017  Irina; Hernesaaren Ranta [C]
9.7.2017   Jenni Vartiainen; Narinkka-tori [C]
19.7.2017  Eva & Manu, Ulpu; Nosturi [C]
21.7.2017  Sisters Ink; Toppari, Vantaa [C]
26.7.2017  SaraLee & TeeTee Jumpin' Duo (akustinen); Ravintola Fryysarinranta, Porvoo [C]
28.7.2017  Ropecon 2017; Messukeskus (3 days)
30.7.2017  Ropecon 2017: Another Castle; Messukeskus [C]
3.8.2017   Sanni; Hernesaaren Ranta [C]
9.8.2017   Worldcon 75; Messukeskus (5 days)
11.8.2017  Unreality; Worldcon 75 [C]
23.8.2017  Anna Puu; Nosturi [C]
26.8.2017  Scandinavian Music Group; Virgin Oil Co. [C]
16.9.2017  Ayreon (Ayreon Universe); 013 Poppodium, Tilburg, The Netherlands [C]
17.9.2017  Ayreon (Ayreon Universe); 013 Poppodium, Tilburg, The Netherlands [C]
23.9.2017  Vilma Alina; G.Livelab [C]
26.9.2017  Alasti-klubi: Vesala; Kulttuuritalo [C]
28.9.2017  Petra; Le Bonk [C]
7.10.2017  Scandinavian Music Group; Korjaamo [C]
8.10.2017  Cirque du Soleil: Varekai; Hartwall Areena
12.10.2017 Vesterinen yhtyeineen; Sellosali [C]
13.10.2017 Maija Vilkkumaa; Tavastia [C]
14.10.2017 Eva & Manu; Tavastia [C]
20.10.2017 Ellinoora; Tavastia [C]
22.10.2017 Cats; Hartwall Areena
27.10.2017 Younghearted, Ella Lymi; Bar Loose [C]
3.11.2017  Maija Vilkkumaa; Sellosali [C]
4.11.2017  Scandinavian Music Group (akustinen); G.Livelab [C]
10.11.2017 Jonna Tervomaa; Tavastia [C]
16.11.2017 Vahtera; Semifinal [C]
18.11.2017 Vesala; Circus [C]
23.11.2017 Jonna Tervomaa; Sellosali [C]
25.11.2017 Jenni Vartiainen; Verkatehdas, Hämeenlinna [C]
2.12.2017  Haloo Helsinki!; Hartwall Areena [C]
9.12.2017  Maija Vilkkumaa; Virgin Oil Co. [C]
15.12.2017 Jenni Vartiainen; Järvenpää-talo, Järvenpää [C]
16.12.2017 Jenni Vartiainen; Kulttuuritalo [C]
17.12.2017 Ultra Bra; Hartwall Areena [C]
20.12.2017 Eva & Manu; Savoy-teatteri [C]
20.12.2017 Anna Puu; Tavastia [C]
29.12.2017 Younghearted; G.Livelab [C]
3.1.2018   Elia; Gloria (Flowers of Life Areena) [C]
18.1.2018  Mafia Honey; Elmun Baari [C]
26.1.2018  Matka maailman ympäri; Kuudes linja [C]
6.2.2018   Michael Monroe; Finlandia-talo [C]
10.2.2018  Irina; Shamrock, Vantaa [C]
25.2.2018  Irina; Suistoklubi, Hämeenlinna [C]
3.3.2018   Vilma Alina (duo); Finnegan's, Tuusula [C]
5.3.2018   Jethro Tull; Finlandia-talo [C]
9.3.2018   Vilma Alina; Nosturi [C]
14.3.2018  Viitasen Piia, Lau Nau, Cats of Transnistria; Tavastia [C]
17.3.2018  Petra; Sellosali [C]
17.3.2018  Ida Paul & Kalle Lindroth; Tavastia [C]
22.3.2018  Fork; Sellosali [C]
24.3.2018  Eva & Manu; Korjaamo [C]
30.3.2018  Elonkerjuu; Virgin Oil Co. [C]
6.4.2018   Younghearted (akustinen); Roots Helsinki [C]
27.4.2018  Maija Vilkkumaa; Nosturi [C]
28.4.2018  Vesta; Tavastia [C]
30.4.2018  Jenni Vartiainen; Tavastia [C]
4.5.2018   Irina; Nosturi [C]
9.5.2018   The Nits; Savoy-teatteri [C]
18.5.2018  Jeff Dunham: Passively Aggressive; Jäähalli
25.5.2018  Mafia Honey, Intiaanikesä; On The Rocks [C]
20.6.2018  Younghearted, Ida Paul & Kalle Lindroth; Nosturi [C]
27.6.2018  Scandinavian Music Group, Karina; Tavastia [C]
6.7.2018   Maija Vilkkumaa; Raffaellon terassi [C]
12.7.2018  Suomipop Festivaali: Tiktak; Lutakonaukio, Jyväskylä [C]
20.7.2018  Tammerfest: Tiktak; Ratinanniemi, Tampere [C]
27.7.2018  Ropecon 2018; Messukeskus (3 days)
4.8.2018   Matka maailman ympäri; Tavastia [C]
16.8.2018  Jonna Tervomaa (trio); G.Livelab [C]
17.8.2018  Scandinavian Music Group; Allas Sea Pool [C]
21.8.2018  Lumottu Apina; Venn [C]
23.8.2018  Younghearted; Tavastia [C]
29.8.2018  Ellinoora, M; Huvila-teltta [C]
31.8.2018  Younghearted; Sellosali [C]
7.9.2018   Jonna Tervomaa; Virgin Oil Co. [C]
8.9.2018   Younghearted; Iso Omena [C]
13.9.2018  Sansa, Ufo Mustonen; Cafe Veranda [C]
19.9.2018  Kosmik5; Tavastia [C]
4.10.2018  Elonkerjuu; Sellosali [C]
5.10.2018  Scandinavian Music Group; Nosturi [C]
11.10.2018 Vilma Alina; Sellosali [C]
17.10.2018 Jessica Wolff, Violent Fever; Bar Loose [C]
19.10.2018 Saara Aalto; Tapiolasali, Espoon kulttuurikeskus [C]
20.10.2018 Within Temptation, Smash Into Pieces; Metro Areena [C]
24.10.2018 Scandinavian Music Group; Sellosali [C]
25.10.2018 Jonna Tervomaa; Sellosali [C]
25.10.2018 Jessica Wolff; Semifinal [C]
26.10.2018 Mira Luoti; Virgin Oil Co. [C]
30.10.2018 Jessica Wolff, Lauma; Mascot [C]
10.11.2018 Irina; Virgin Oil Co. [C]
12.11.2018 Per Gessle's Roxette; Kulttuuritalo [C]
16.11.2018 Jenni Vartiainen; Hartwall Areena [C]
29.11.2018 Janna; Tavastia [C]
1.12.2018  Vesterinen yhtyeineen; Korjaamo [C]
7.12.2018  Maija Vilkkumaa; Sellosali [C]
13.12.2018 Anna Puu; Tavastia [C]
14.12.2018 Anna Puu; Tavastia [C]
19.12.2018 Eva & Manu; Savoy-teatteri [C]
29.12.2018 Younghearted; Tavastia [C]
16.1.2019  Iron Sky The Coming Race ensi-ilta; Tennispalatsi
18.1.2019  Within Temptation, Dark Sarah; Club Teatria, Oulu [C]
19.1.2019  Maija Vilkkumaa (Neverheard); Tavastia [C]
19.1.2019  Maija Vilkkumaa; Tavastia [C]
23.1.2019  Petra, Jukka Takalo; G.Livelab [C]
7.2.2019   Ellinoora, Eetu; Tavastia [C]
8.2.2019   Ellinoora, Eetu; Tavastia [C]
1.3.2019   Vesterinen yhtyeineen; Tavastia [C]
6.3.2019   Eva & Manu; Sellosali [C]
21.3.2019  Vilma Alina; Tavastia [C]
6.4.2019   Tuure Kilpeläinen ja Kaihon Karavaani; Tavastia [C]
17.4.2019  Vilma, Jukka Takalo; G.Livelab [C]
18.4.2019  Tiktak; Hartwall Areena [C]
24.4.2019  Pauliina Kokkonen; Tavastia [C]
26.4.2019  Emppu (akustinen); Maltainen Riekko [C]
1.5.2019   Mafia Honey; On The Rocks [C]
4.5.2019   Irina; On The Rocks [C]
9.5.2019   Viitasen Piia (akustinen), Laura Moisio (akustinen); On The Rocks [C]
11.5.2019  Irina (akustinen); Sellosalin lämpiö [C]
15.5.2019  Anni Lahe, Terri; Bar Loose [C]
24.5.2019  Ellips; Tavastia [C]
8.6.2019   Rock Fest 2019: Within Temptation, Dream Theater; Hyvinkään lentokenttä [C]
13.6.2019  Jonna Tervomaa; Nosturi [C]
15.6.2019  Younghearted; Tavastia [C]
27.6.2019  Maija Vilkkumaa; Krapin Paja, Tuusula [C]
19.7.2019  Irina; Raffaellon terassi [C]
25.7.2019  Sir Elwoodin hiljaiset värit (trio); Tavastia [C]
26.7.2018  Ropecon 2019; Messukeskus (3 days)
27.7.2019  Ropecon 2019: Anna Kokkonen, Mamyth; Messukeskus [C]
31.7.2019  Mafia Honey, Olavi Uusivirta; Allas Sea Pool [C]
1.8.2019   Anna Kokkonen, Arosa Ensemble, Maria Lenn; Bar Loose [C]
11.8.2019  Flow Festival 2019: The Cure; Suvilahti [C]
5.9.2019   Jonna Tervomaa, Paula Rautasuo (akustinen); On The Rocks [C]
6.9.2019   Ellinoora; Korjaamo [C]
13.9.2019  Ayreon (Electric Castle Live); 013 Poppodium, Tilburg, The Netherlands [C]
14.9.2019  Ayreon (Electric Castle Live); 013 Poppodium, Tilburg, The Netherlands [C]
20.9.2019  The Blue Man Group; Hartwall Areena
28.9.2019  Smash Into Pieces; On The Rocks [C]
29.9.2019  Maggie Reilly; Kulttuuritalo [C]
10.10.2019 Lisa Miskovsky; Kulturhuset Najaden, Halmstad, Sweden [C]
11.10.2019 Ola Salo's It Takes a Fool to Remain Sane; Hamburger Börs, Stockholm, Sweden [C]
12.10.2019 Amanda Palmer; Södra Teatern, Stockholm, Sweden [C]
16.10.2019 Eva & Manu; Tapiolan kirkko [C]
18.10.2019 Chisu; Tavastia [C]
19.10.2019 Irina; Suvilahti TBA [C]
20.20.2019 Vilma Alina; Tavastia [C]
24.10.2019 Vahtera, Ufo Mustonen; Cafe Veranda [C]
24.10.2019 Mira Luoti, Elsi Sloan; Tavastia [C]
30.10.2019 Eva & Manu; On The Rocks [C]
8.11.2019  Elia, Frank Frank Frank; Korjaamo [C]
16.11.2019 Ellinoora; Tavastia [C]
28.11.2019 Petra; Sellosalin lämpiö [C]
30.11.2019 Anna Puu; Hartwall Areena [C]
7.12.2019  Anni Lahe, Ufo Mustonen; Manala [C]
14.12.2019 Jonna Tervomaa; Sellosalin lämpiö [C]
18.12.2019 Fork; Monikko, Klaukkala [C]
20.12.2019 Poets of the Fall; Nosturi [C]
14.1.2020  Fork; Svenska Teatern [C]
1.2.2020   Younghearted; Tavastia [C]
26.2.2020  Swallow the Sun; Tavastia [C]
5.3.2020   Irina; Sellosali [C]
6.3.2020   Fork; Sellosali [C]
7.3.2020   Chisu; Ääniwalli [C]
25.6.2020  Olavi Uusivirta; Suvilahti Summer [C]
26.6.2020  Younghearted; G.Livelab [C]
30.7.2020  Maija Vilkkumaa; Krapin puisto, Tuusula [C]
20.8.2020  Ellinoora; Allas Sea Pool [C]
21.8.2020  Vesterinen yhtyeineen; Allas Sea Pool [C]
11.9.2020  Irina; Allas Sea Pool [C]
18.9.2020  Younghearted; Bar Loose [C]
30.9.2020  Behm; Tavastia [C]
2.10.2020  Vesterinen yhtyeineen; Sallosali [C]
7.10.2020  Vesterinen yhtyeineen; Savoy-teatteri [C]
22.10.2020 Sir Elwoodin hiljaiset värit; Sellosali [C]
24.10.2020 Vilma Alina; Martinus-sali [C]
4.11.2020  Maija Vilkkumaa (akustinen); Sellosali [C]
7.11.2020  Maija Vilkkumaa (akustinen); G.Livelab [C]
13.11.2020 Ismo Leikola; Finlandia-talo
19.11.2020 Vesterinen yhtyeineen; Korjaamo [C]
15.6.2021  Behm; Allas Sea Pool [C]
17.6.2021  Ellinoora; Allas Sea Pool [C]
21.7.2021  Maija Vilkkumaa; Allas Sea Pool [C]
24.7.2021  Von Hertzen Brothers; Allas Sea Pool [C]
29.7.2021  Kuopio Rock 2021: Within Temptation; Väinölänniemi, Kuopio [C]
13.8.2021  Ellinoora; Krapin puisto, Tuusula [C]
1.9.2021   Vilma Alina, Matka maailman ympäri; Allas Sea Pool [C]
1.10.2021  Vesterinen yhtyeineen; Tapiolasali, Espoon kulttuurikeskus [C]
6.10.2021  Janita; Tavastia [C]
15.10.2021 Younghearted, Eetu; Kulttuuritalo [C]
22.10.2021 Behm; Kulttuuritalo [C]
6.11.2021  Ellinoora; Tavastia [C]
19.11.2021 Eroma; Musiikkitalon Klubi [C]
27.11.2021 Neidon väreissä: Meren sisaret & co; Museoravintola Valssi, Vapriikki, Tampere [C]
10.12.2021 Vesterinen yhtyeineen; Tavastia [C]
11.12.2021 Younghearted; Tavastia [C]
19.2.2022  Eva & Manu; Louhisali, Espoon kulttuurikeskus [C]
12.3.2022  Vilma Alina; Korjaamo [C]
18.3.2022  Maija Vilkkumaa; Tavastia [C]
24.4.2022  Clannad; Kulttuuritalo [C]
26.4.2022  The Dire Straits Experience; Kulttuuritalo [C]
6.5.2022   Sir Elwoodin hiljaiset värit; Tapiolasali, Espoon kulttuurikeskus [C]
7.5.2022   Irina; On The Rocks [C]
13.5.2022  Viivi; Tavastia [C]
4.6.2022   Eva & Manu; Viaporintori [C]
18.6.2022  Kvarkenfest 2022: Lisa Miskovsky, Bess, Tove Styrke (Elonkerjuu); Elisa Stadio, Vaasa [C]
21.6.2022  Behm; Allas Sea Pool [C]
22.6.2022  Eroma; Kuudes Linja [C]
25.6.2022  Younghearted; Helsinki Outlet [C]
30.6.2022  Ellinoora; Allas Sea Pool [C]
4.7.2022   Maija Vilkkumaa (& ystävät); Tavastia [C]
22.7.2022  Scandinavian Music Group; Allas Sea Pool [C]
29.7.2022  Ropecon 2022; Messukeskus (3 days)
4.8.2022   Maija Vilkkumaa; Allas Sea Pool [C]
30.8.2022  The Nits; Savoy-teatteri [C]
2.9.2022   Tracon 2022; Tampere-talo, Tampere (3 days)
4.9.2022   Behm; Tavastia [C]
10.9.2022  Scandinavian Music Group; Tavastia [C]
14.9.2022  Vilma Alina; Tiivistämö, Suvilahti [C]
17.9.2022  Cornelia Jakobs; Tavastia [C]
19.9.2022  John Cleese; Kulttuuritalo
24.9.2022  Younghearted; Sellosali [C]
7.10.2022  Younghearted; Tavastia [C]
8.10.2022  The Cure, The Twilight Sad; Jäähalli [C]
15.10.2022 Scandinavian Music Group; Sellosali [C]
17.10.2022 Anneke van Giersbergen (acoustic); Savoy-teatteri [C]
19.10.2022 Eva & Manu; Savoy-teatteri [C]
21.10.2022 Irina; Louhisali, Espoon kulttuurikeskus [C]
26.10.2022 Maija Vilkkumaa (& ystävät); Kamppi [C]
27.10.2022 Maija Vilkkumaa; Tavastia [C]
28.10.2022 Maija Vilkkumaa; Tavastia [C]
12.11.2022 Aknestik, Supperheads; On The Rocks [C]
13.11.2022 Mestarit (Jenni Vartiainen, Ellinoora, Vesala, Kaija Koo); Jäähalli [C]
18.11.2022 Original Enigma Voices; Kulttuuritalo [C]
27.11.2022 Chisu; Tavastia [C]
3.12.2022  Chisu; Tavastia [C]
6.12.2022  Chisu; Tavastia [C]
10.12.2022 Scandinavian Music Group; Korjaamo [C]
17.12.2022 Haloo Helsinki!; Jäähalli [C]
29.12.2022 Vesala; Tavastia [C]
20.1.2023  Viitasen Piia, Heta Narkaus; G.Livelab [C]
21.1.2023  Jerkstars, Timo Haavisto Band; Shed, Järvenpää [C]
26.1.2023  Irene; Semifinal [C]
2.2.2023   Steve 'n' Seagulls; Tavastia [C]
7.2.2023   Maija Vilkkumaa (Neverheard); G.Livelab [C]
8.2.2023   Maija Vilkkumaa (Neverheard); G.Livelab [C]
10.2.2023  Scandinavian Music Group (trio); G.Livelab [C]
15.2.2023  Erin; Tapiolasali, Espoon kulttuurikeskus [C]
17.2.2023  Maija Vilkkumaa (Neverheard); Suistoklubi, Hämeenlinna [C]
23.2.2023  Scandinavian Music Group (trio); Louhisali, Espoon kulttuurikeskus [C]
24.2.2023  Maija Vilkkumaa (Neverheard); Krapin Paja, Tuusula [C]
7.3.2023   Faun, Emian; Tavastia [C]
8.3.2023   Maija Vilkkumaa (Ei 20v); Tavastia [C]
17.3.2023  Irina; Tulisuudelma [C]
18.3.2023  Vesterinen yhtyeineen; Tapiolasali, Espoon kulttuurikeskus [C]
30.3.2023  Behm (Teatraaliset vivahteet); Tapiolasali, Espoon kulttuurikeskus [C]
6.4.2023   Behm (Teatraaliset vivahteet); Kulttuuritalo [C]
15.4.2023  Jonna Tervomaa; Louhisali, Espoon kulttuurikeskus [C]
22.4.2023  Younghearted; Korjaamo [C]
6.5.2023   Maaria, Pauliina Kokkonen (duo); Bar Loose [C]
11.5.2023  Lumottu Apina; On The Rocks [C]
13.5.2023  Steve 'n' Seagulls; Sellosali [C]
19.5.2023  Vesterinen yhtyeineen; Kulttuuritalo [C]
20.5.2023  Jonna Tervomaa; Teatro-sali, Logomo, Turku [C]
27.5.2023  Indica; Korjaamo [C]
2.6.2023   Indica; G.Livelab, Tampere [C]
8.8.2023   Maija Vilkkumaa (& ystävät); Allas Sea Pool [C]
17.6.2023  Sir Elwoodin hiljaiset värit; Tavastia [C]
7.7.2023   Elton John; Tele2 Arena, Stockholm, Sweden [C]
14.7.2023  Annika Nord; Köpmans, Nauvo [C]
28.7.2023  Ropecon 2023; Messukeskus (3 days)
4.8.2023   Porispere 2023: Within Temptation; Kirjurinluoto, Pori [C]
9.8.2023   Maija Vilkkumaa; Krapin puisto, Tuusula [C]
16.8.2023  Vesterinen yhtyeineen; Allas Sea Pool [C]
19.8.2023  Jonna Tervomaa, Stinako; Huvila-teltta [C]
24.8.2023  Haloo Helsinki!, Emppu; Tavastia [C]
25.8.2023  Poets of the Fall; Allas Sea Pool [C]
30.8.2023  Haloo Helsinki!, Emppu; Tavastia [C]
31.8.2023  Haloo Helsinki!, Emppu; Tavastia [C]
2.9.2023   Haloo Helsinki!, Emppu; Tavastia [C]
3.9.2023   Scandinavian Music Group (ja Ikuiset ystävät); Huvila-teltta [C]
15.9.2023  Ayreon (Beneath the Waves Live); 013 Poppodium, Tilburg, The Netherlands [C]
17.9.2023  Ayreon (Beneath the Waves Live); 013 Poppodium, Tilburg, The Netherlands [C]
29.9.2023  Bess, Ani; Tavastia [C]
6.10.2023  Indica; Tulisuudelma [C]
8.10.2023  Behm; Tavastia [C]
12.10.2023 Tommi Läntinen; Tavastia [C]
14.10.2023 Younghearted, Emma & Matilda; Tavastia [C]
21.10.2023 Irina; Pääsali, Sibeliustalo, Lahti [C]
28.10.2023 Irina; Savoy-teatteri [C]
11.11.2023 Maija Vilkkumaa (1973); Jäähalli [C]
16.11.2023 Scandinavian Music Group (trio), Heta Narkaus; On The Rocks [C]
24.11.2023 Jonna Tervomaa; Sellosali [C]
29.11.2023 Aliisa Syrjä; Tavastia [C]
30.11.2023 Maija Vilkkumaa; Sea Life [MC]
1.12.2023  Lumottu Apina; Semifinal [C]
5.12.2023  Jonna Tervomaa; Korjaamo [C]
7.12.2023  Anna Puu; Tavastia [C]
8.12.2023  Irina; Krapin Paja, Tuusula [C]
9.12.2023  Vesterinen yhtyeineen; Tavastia [C]
13.12.2023 Lord of the Lost, Rain Diary, Gothminister; Kulttuuritalo [C]
29.12.2023 Younghearted; G.Livelab [C]
24.1.2024  Lloyd Cole (acoustic); Savoy-teatteri [C]
26.1.2024  Ellinoora; Tavastia [C]
27.1.2024  Ellinoora; Tavastia [C]
31.1.2024  Wilma; Tavastia [C]
10.2.2024  Irina; Louhisali, Espoon kulttuurikeskus [C]
15.2.2024  Ellinoora; Sellosali [C]
22.2.2024  Club For Five; Sellosali [C]
29.2.2024  Maija Vilkkumaa (Toinen Maija); Hyvinkää-sali, Hyvinkää [C]
7.3.2024   Aliisa Syrjä; Sellosali [C]
13.3.2024  Maija Vilkkumaa (Toinen Maija); Tapiolasali, Espoon kulttuurikeskus [C]
14.3.2024  Vilma Alina; Tavastia [C]
23.3.2024  Scandinavian Music Group (ja Vantaan viihdeorkesteri); Musiikkitalo [C]
29.3.2024  Irina; G.Livelab [C]
30.3.2024  Maija Vilkkumaa (Toinen Maija); Savoy [C]
31.3.2024  Yona; Tavastia [C]
5.4.2024   Vesterinen yhtyeineen; Tapiolasali, Espoon kulttuurikeskus [C]
